2017-05-12 09:41:19.559 [main] INFO  com.hwangfantasy.SpringBootSampleApplication - Starting SpringBootSampleApplication on PC201603241400 with PID 9796 (D:\githubprojects\spring-sample\spring-boot-sample\target\classes started by yunfeiyang in D:\githubprojects\spring-sample\spring-boot-sample)
2017-05-12 09:41:19.562 [main] INFO  com.hwangfantasy.SpringBootSampleApplication - No active profile set, falling back to default profiles: default
2017-05-12 09:41:19.607 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@65c1ef16: startup date [Fri May 12 09:41:19 CST 2017]; root of context hierarchy
2017-05-12 09:41:19.876 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.4.Final
2017-05-12 09:41:20.546 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2017-05-12 09:41:20.638 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'userMapper' and 'com.hwangfantasy.dao.UserMapper' mapperInterface. Bean already defined with the same name!
2017-05-12 09:41:20.639 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.hwangfantasy.dao]' package. Please check your configuration.
2017-05-12 09:41:20.654 [main] WARN  o.s.c.annotation.ConfigurationClassPostProcessor - Cannot enhance @Configuration bean definition 'myBatisMapperScannerConfig' since its singleton instance has been created too early. The typical cause is a non-static @Bean method with a BeanDefinitionRegistryPostProcessor return type: Consider declaring such methods as 'static'.
2017-05-12 09:41:20.991 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.amqp.rabbit.annotation.RabbitBootstrapConfiguration' of type [org.springframework.amqp.rabbit.annotation.RabbitBootstrapConfiguration$$EnhancerBySpringCGLIB$$a1a792c2] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-05-12 09:41:21.032 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.boot.autoconfigure.jdbc.DataSourceConfiguration$Generic' of type [org.springframework.boot.autoconfigure.jdbc.DataSourceConfiguration$Generic] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-05-12 09:41:21.040 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfig' of type [com.hwangfantasy.config.redis.RedisConfig$$EnhancerBySpringCGLIB$$bc8f22dd] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
